Date,廣達,華碩,威盛,迎廣,上銀,研華,所羅門,直得
2024-01-02 00:00:00+08:00,189.6955108642578,418.70758056640625,156.27822875976562,73.19158172607422,228.18426513671875,343.82720947265625,38.27019119262695,61.86063003540039
2024-01-03 00:00:00+08:00,189.6955108642578,401.4413146972656,155.78053283691406,75.6565933227539,224.30027770996094,334.98724365234375,37.68516540527344,61.566986083984375
2024-01-04 00:00:00+08:00,194.1276397705078,391.94482421875,156.27822875976562,74.89813232421875,217.5032958984375,334.98724365234375,37.34390640258789,61.66486740112305
2024-01-05 00:00:00+08:00,191.02516174316406,391.94482421875,159.2644500732422,73.66561889648438,219.93077087402344,333.59149169921875,37.0513916015625,62.44791030883789
2024-01-08 00:00:00+08:00,189.6955108642578,391.51318359375,148.3150177001953,71.8642807006836,217.98880004882812,335.9178161621094,36.85638427734375,62.643672943115234
2024-01-09 00:00:00+08:00,191.4683837890625,392.80816650390625,148.3150177001953,74.7085189819336,218.4742889404297,334.98724365234375,37.78267288208008,61.9585075378418
2024-01-10 00:00:00+08:00,193.24124145507812,397.988037109375,151.79893493652344,73.47600555419922,219.44528198242188,334.98724365234375,37.8314208984375,60.97970199584961
2024-01-11 00:00:00+08:00,198.55979919433594,397.988037109375,149.3104248046875,73.9500503540039,221.3872833251953,334.0567321777344,38.416446685791016,61.27334213256836
2024-01-12 00:00:00+08:00,204.76480102539062,387.1966247558594,144.8311004638672,72.4331283569336,218.9597930908203,329.869384765625,38.17268371582031,61.9585075378418
2024-01-15 00:00:00+08:00,200.77586364746094,385.9016418457031,148.81271362304688,75.18254852294922,218.9597930908203,329.4041442871094,39.14772415161133,61.9585075378418
2024-01-16 00:00:00+08:00,202.1055145263672,380.29010009765625,146.82191467285156,73.47600555419922,211.67730712890625,316.8421325683594,38.903968811035156,61.17546463012695
2024-01-17 00:00:00+08:00,202.54872131347656,378.9951171875,142.84030151367188,74.89813232421875,206.82232666015625,308.4674377441406,38.6114501953125,61.37122344970703
2024-01-18 00:00:00+08:00,196.34373474121094,384.1750183105469,142.3426055908203,76.98389434814453,205.85133361816406,308.4674377441406,37.97767639160156,60.97970199584961
2024-01-19 00:00:00+08:00,212.74264526367188,392.80816650390625,144.33340454101562,73.66561889648438,209.73532104492188,311.25897216796875,38.80645751953125,61.66486740112305
2024-01-22 00:00:00+08:00,224.70941162109375,396.6930847167969,147.31961059570312,73.19158172607422,213.6193084716797,314.0505676269531,39.6352424621582,61.27334213256836
2024-01-23 00:00:00+08:00,223.82298278808594,394.1031188964844,145.82650756835938,73.57081604003906,213.13380432128906,316.8421325683594,40.074005126953125,60.97970199584961
2024-01-24 00:00:00+08:00,221.60691833496094,392.80816650390625,142.84030151367188,72.90716552734375,212.16281127929688,314.9810485839844,39.781494140625,61.9585075378418
2024-01-25 00:00:00+08:00,220.72048950195312,395.3981018066406,141.84490966796875,72.14869689941406,208.27882385253906,312.65478515625,39.44023513793945,62.350032806396484
2024-01-26 00:00:00+08:00,214.51548767089844,378.9951171875,139.35638427734375,68.83042907714844,210.2208251953125,313.5852966308594,38.85520935058594,62.74155044555664
2024-01-29 00:00:00+08:00,217.61798095703125,383.31170654296875,140.84950256347656,69.11485290527344,213.6193084716797,314.5158386230469,38.56270217895508,62.74155044555664
2024-01-30 00:00:00+08:00,224.26620483398438,386.33331298828125,137.86328125,69.96812438964844,210.70632934570312,314.0505676269531,38.85520935058594,61.9585075378418
2024-01-31 00:00:00+08:00,218.9476318359375,384.6066589355469,137.86328125,68.54600524902344,213.6193084716797,314.0505676269531,38.6114501953125,62.154266357421875
2024-02-01 00:00:00+08:00,215.4019317626953,385.9016418457031,136.37017822265625,68.35638427734375,215.0758056640625,326.1473083496094,38.36769104003906,62.25214767456055
2024-02-02 00:00:00+08:00,224.26620483398438,392.80816650390625,142.3426055908203,68.35638427734375,213.13380432128906,339.6398620605469,38.416446685791016,62.05638885498047
2024-02-05 00:00:00+08:00,226.03904724121094,390.21820068359375,136.37017822265625,65.13292694091797,212.64830017089844,344.7577209472656,38.0751838684082,61.66486740112305
2024-02-15 00:00:00+08:00,236.2329864501953,400.5780029296875,135.37478637695312,66.08100891113281,212.64830017089844,356.8544921875,35.101318359375,61.27334213256836
2024-02-16 00:00:00+08:00,220.2772674560547,413.9593811035156,140.351806640625,72.62274169921875,224.30027770996094,354.0628967285156,35.83259582519531,62.44791030883789
2024-02-19 00:00:00+08:00,214.07228088378906,412.2327575683594,136.37017822265625,73.47600555419922,235.95223999023438,362.90289306640625,36.07635498046875,63.818241119384766
2024-02-20 00:00:00+08:00,214.9586944580078,408.3478088378906,135.8724822998047,71.5798568725586,249.06069946289062,363.8334045410156,36.07635498046875,64.30764770507812
2024-02-21 00:00:00+08:00,209.19692993164062,404.8945617675781,135.8724822998047,74.99292755126953,250.51719665527344,364.7638854980469,36.32011413574219,64.89493560791016
2024-02-22 00:00:00+08:00,215.8451385498047,404.8945617675781,131.890869140625,73.0967788696289,250.0316925048828,360.111328125,36.22261428833008,64.30764770507812
2024-02-23 00:00:00+08:00,213.6290740966797,409.21112060546875,133.38397216796875,72.4331283569336,247.6042022705078,353.5976867675781,36.02760696411133,64.01400756835938
2024-02-26 00:00:00+08:00,213.6290740966797,406.1895446777344,131.890869140625,72.33831787109375,245.17669677734375,354.99346923828125,38.17268371582031,64.50341033935547
2024-02-27 00:00:00+08:00,206.09442138671875,392.3764953613281,129.40237426757812,70.25254821777344,247.1186981201172,352.201904296875,38.416446685791016,64.89493560791016
2024-02-29 00:00:00+08:00,205.65121459960938,392.80816650390625,131.39317321777344,69.49408721923828,233.03924560546875,362.90289306640625,38.66020584106445,65.09069061279297
2024-03-01 00:00:00+08:00,210.08335876464844,394.5347900390625,130.39776611328125,70.7265853881836,231.09725952148438,364.7638854980469,38.75770568847656,64.40552520751953
2024-03-04 00:00:00+08:00,211.856201171875,394.5347900390625,130.89547729492188,71.5798568725586,233.03924560546875,360.111328125,39.098968505859375,63.72035217285156
2024-03-05 00:00:00+08:00,217.17477416992188,402.30462646484375,130.89547729492188,78.69043731689453,228.18426513671875,362.4375915527344,38.46519470214844,63.133079528808594
2024-03-06 00:00:00+08:00,218.50442504882812,406.6212158203125,127.90926361083984,81.34506225585938,224.30027770996094,363.3681640625,37.8314208984375,62.350032806396484
2024-03-07 00:00:00+08:00,213.18585205078125,398.8513488769531,136.86788940429688,74.42408752441406,228.18426513671875,369.41650390625,38.36769104003906,61.9585075378418
2024-03-08 00:00:00+08:00,214.07228088378906,390.6498718261719,130.39776611328125,71.48504638671875,230.61175537109375,365.6944274902344,37.441410064697266,63.03519821166992
2024-03-11 00:00:00+08:00,221.16371154785156,383.31170654296875,128.40695190429688,72.8123550415039,234.01025390625,378.2564697265625,39.24522399902344,64.60128784179688
2024-03-12 00:00:00+08:00,225.59584045410156,380.72174072265625,128.40695190429688,80.01775360107422,234.01025390625,375.9301452636719,40.171512603759766,66.26525115966797
2024-03-13 00:00:00+08:00,222.0501251220703,376.4051818847656,122.43453979492188,75.46697235107422,230.12625122070312,367.55548095703125,40.366519927978516,65.677978515625
2024-03-14 00:00:00+08:00,215.8451385498047,374.2469177246094,121.93684387207031,76.41504669189453,233.52474975585938,365.6944274902344,39.391483306884766,65.77584838867188
2024-03-15 00:00:00+08:00,228.255126953125,370.36199951171875,120.44374084472656,74.99292755126953,231.09725952148438,364.7638854980469,38.85520935058594,66.36314392089844
2024-03-18 00:00:00+08:00,226.03904724121094,352.66400146484375,121.43914031982422,77.93196868896484,236.43772888183594,362.4375915527344,40.02525329589844,67.53771209716797
2024-03-19 00:00:00+08:00,227.81192016601562,351.80072021484375,119.4483413696289,76.69947814941406,237.4087371826172,365.2291564941406,43.77914810180664,68.12499237060547
2024-03-20 00:00:00+08:00,220.72048950195312,357.4122314453125,119.4483413696289,73.9500503540039,241.292724609375,367.55548095703125,48.1180534362793,70.66989135742188
2024-03-21 00:00:00+08:00,225.59584045410156,362.5921325683594,120.94143676757812,74.04486083984375,243.72019958496094,372.20806884765625,52.84698486328125,72.52962493896484
2024-03-22 00:00:00+08:00,228.255126953125,363.8871154785156,121.93684387207031,74.99292755126953,240.80722045898438,372.20806884765625,58.1121826171875,73.41055297851562
2024-03-25 00:00:00+08:00,226.03904724121094,365.6137390136719,133.8816680908203,76.50984954833984,264.5966491699219,372.67333984375,63.864898681640625,78.20671081542969
2024-03-26 00:00:00+08:00,225.1526336669922,360.0022277832031,130.89547729492188,74.8033218383789,251.00267028808594,376.3954162597656,67.96005249023438,73.80208587646484
2024-03-27 00:00:00+08:00,228.255126953125,366.47705078125,126.91385650634766,73.85523986816406,275.76312255859375,377.79119873046875,70.98267364501953,74.38935852050781
2024-03-28 00:00:00+08:00,248.1997528076172,365.6137390136719,125.4207534790039,75.75139617919922,270.9081115722656,378.7217102050781,71.27517700195312,72.43175506591797
2024-03-29 00:00:00+08:00,253.96153259277344,367.3403625488281,124.92305755615234,77.83716583251953,265.0821228027344,374.9996643066406,70.39764404296875,71.94235229492188
2024-04-01 00:00:00+08:00,250.41580200195312,365.1820983886719,131.39317321777344,75.75139617919922,267.0241394042969,372.20806884765625,77.71041870117188,70.47413635253906
2024-04-02 00:00:00+08:00,264.15545654296875,365.1820983886719,128.9046630859375,77.0787124633789,267.5096435546875,368.0207214355469,85.4132080078125,71.35506439208984
2024-04-03 00:00:00+08:00,260.16650390625,364.75042724609375,128.9046630859375,84.75813293457031,261.68365478515625,363.3681640625,93.89603424072266,71.64869689941406
2024-04-08 00:00:00+08:00,258.3936767578125,367.77203369140625,126.41615295410156,93.19602966308594,255.85768127441406,361.97235107421875,102.86637115478516,70.18048095703125
2024-04-09 00:00:00+08:00,254.4047393798828,366.9087219238281,130.39776611328125,102.39237213134766,253.43017578125,367.0902404785156,96.52862548828125,72.2359848022461
2024-04-10 00:00:00+08:00,249.97259521484375,375.5418701171875,130.89547729492188,93.6700668334961,254.40118408203125,357.31976318359375,97.9911880493164,73.99783325195312
2024-04-11 00:00:00+08:00,252.1886749267578,391.51318359375,126.91385650634766,91.01544952392578,247.1186981201172,359.1808166503906,102.86637115478516,71.45294189453125
2024-04-12 00:00:00+08:00,248.06942749023438,382.8800354003906,139.35638427734375,88.2660140991211,245.66220092773438,352.201904296875,100.91629791259766,71.06140899658203
2024-04-15 00:00:00+08:00,238.91558837890625,380.29010009765625,138.36099243164062,85.42178344726562,236.92323303222656,348.4798278808594,96.33362579345703,69.39744567871094
2024-04-16 00:00:00+08:00,228.38865661621094,367.3403625488281,136.37017822265625,76.98389434814453,230.61175537109375,339.6398620605469,89.703369140625,66.36314392089844
2024-04-17 00:00:00+08:00,232.965576171875,369.9303283691406,140.351806640625,78.50082397460938,227.2132568359375,345.2229919433594,94.18853759765625,65.87374114990234
2024-04-18 00:00:00+08:00,229.3040313720703,368.6353454589844,137.86328125,80.49178314208984,232.5537567138672,346.15350341796875,96.52862548828125,65.18856811523438
2024-04-19 00:00:00+08:00,221.06556701660156,356.9806213378906,127.41156005859375,77.0787124633789,221.87278747558594,339.6398620605469,88.92333984375,63.230960845947266
2024-04-22 00:00:00+08:00,210.53863525390625,356.9806213378906,120.44374084472656,72.14869689941406,219.93077087402344,342.8966979980469,80.05050659179688,62.44791030883789
2024-04-23 00:00:00+08:00,216.9463348388672,353.52734375,120.44374084472656,73.9500503540039,231.09725952148438,341.03564453125,88.04581451416016,63.524600982666016
2024-04-24 00:00:00+08:00,238.45790100097656,363.0238037109375,129.40237426757812,77.74236297607422,233.03924560546875,347.5492858886719,96.8211441040039,64.30764770507812
2024-04-25 00:00:00+08:00,233.88096618652344,355.6856384277344,128.40695190429688,77.64755249023438,223.81478881835938,339.6398620605469,106.27899169921875,63.91612243652344
2024-04-26 00:00:00+08:00,235.71173095703125,361.7288513183594,130.39776611328125,78.40601348876953,227.2132568359375,342.4314270019531,102.86637115478516,64.30764770507812
2024-04-29 00:00:00+08:00,239.373291015625,367.77203369140625,129.40237426757812,77.83716583251953,226.24227905273438,353.5976867675781,96.0411148071289,65.28645324707031
2024-04-30 00:00:00+08:00,238.0001983642578,371.22528076171875,127.41156005859375,78.88005065917969,224.78578186035156,353.5976867675781,99.4537353515625,66.7546615600586
2024-05-02 00:00:00+08:00,238.91558837890625,369.0670166015625,126.91385650634766,78.40601348876953,222.84378051757812,332.66094970703125,95.55359649658203,66.7546615600586
2024-05-03 00:00:00+08:00,234.7963409423828,370.36199951171875,122.9322509765625,77.36312866210938,222.84378051757812,332.19573974609375,89.41085815429688,65.87374114990234
2024-05-06 00:00:00+08:00,239.8309783935547,387.1966247558594,122.9322509765625,78.21640014648438,224.78578186035156,325.6820373535156,89.99588012695312,64.99281311035156
